id_kol,nama_lengkap,username,sosial_media,jenis_kol,jumlah_followers,link_media_sosial,alamat_kol,ctr_%,engagement_rate_%,avg_likes,avg_comments,conversion_rate_%,roi_%,estimated_price_per_post_idr,partner
116525808631930,Agus,kol-agus,tiktok,tiktok-kol,147091,https://www.tiktok.com/@agus,TanjungPinang,8.15,13.4,9255,419,0.16,115.56,296310554,partner exclusif
206798834813676,Kurniawan,kol-kurniawan,tiktok,tiktok-kol,137594,https://www.tiktok.com/@kurniawan,Kendari,6.48,14.6,14119,750,4.15,363.48,219151326,partner exclusif
303229836394225,Teguh,kol-teguh,tiktok,tiktok-kol,504,https://www.tiktok.com/@teguh,Medan,4.62,14.84,68,4,3.43,502.57,456847,influencer
635425961877321,Ratna,kol-ratna,instagram,ig-kol,3605,https://www.instagram.com/ratna,Palu,11.97,2.25,64,4,4.31,74.76,1171013,partner exclusif
575030988308904,Rendy,kol-rendy,facebook,fb-kol,189331,https://www.facebook.com/rendy,Bekasi,6.14,1.77,3017,213,2.54,103.32,225743469,partner exclusif
463842005507000,Hadi Yudha,kol-hadiyudha,instagram,ig-kol,1181475,https://www.instagram.com/hadiyudha,Kupang,2.07,8.01,83779,6523,4.65,448.26,132992155,partner exclusif
144476904382144,Dewi,kol-dewi,instagram,ig-kol,835,https://www.instagram.com/dewi,Palembang,1.67,14.05,101,5,3.93,480.65,149829,influencer
448910397267764,Ria Ruslan,kol-riaruslan,tiktok,tiktok-kol,8052,https://www.tiktok.com/@riaruslan,Bekasi,10.35,8.34,296,24,4.18,580.78,1491447,partner exclusif
115621825645592,Irfan Pratama,kol-irfanpratama,facebook,fb-kol,146025,https://www.facebook.com/irfanpratama,Prabumulih,0.83,4.84,3111,151,4.6,309.3,55536988,partner exclusif
551302245398565,Nina Kusuma,kol-ninakusuma,facebook,fb-kol,59747,https://www.facebook.com/ninakusuma,Semarang,5.54,13.95,9573,197,3.11,329.06,6354814,partner exclusif
390680319147519,Gilang Wijaya,kol-gilangwijaya,tiktok,tiktok-kol,156011,https://www.tiktok.com/@gilangwijaya,Batam,1.95,4.37,3876,157,3.44,508.81,296339422,partner exclusif
763589792171419,Rizky Kurnia,kol-rizkykurnia,facebook,fb-kol,23792,https://www.facebook.com/rizkykurnia,Banten,5.21,0.82,135,10,4.86,4.73,15006085,partner exclusif
372013892639591,Ayuni,kol-ayuni,tiktok,tiktok-kol,1405,https://www.tiktok.com/@ayuni,Mataram,9.47,1.8,28,2,1.12,486.28,2430651,partner exclusif
370957763063387,Fitri,kol-fitri,tiktok,tiktok-kol,293,https://www.tiktok.com/@fitri,Malang,5.27,10.98,21,1,2.56,218.82,352298,influencer
483276346579762,Lina Maulana,kol-linamaulana,instagram,ig-kol,5379,https://www.instagram.com/linamaulana,Kupang,3.62,2.08,82,6,3.39,539.74,2887000,partner exclusif
857331688872864,Dewi,kol-dewi,facebook,fb-kol,2163,https://www.facebook.com/dewi,Bengkulu,9.7,2.38,22,2,3.06,456.46,2410153,partner exclusif
858742267562022,Andi,kol-andi,instagram,ig-kol,74348,https://www.instagram.com/andi,Palu,11.86,9.01,7771,571,3.07,425.95,19937544,partner exclusif
956873037894756,Farah Nina,kol-farahnina,instagram,ig-kol,96538,https://www.instagram.com/farahnina,Cirebon,8.51,1.15,806,42,2.08,108.24,17097677,partner exclusif
135061403237378,Oki Maulana,kol-okimaulana,instagram,ig-kol,133,https://www.instagram.com/okimaulana,Probolinggo,4.1,10.25,10,0,2.34,59.13,376241,influencer
862419423697713,Dina Saputra,kol-dinasaputra,facebook,fb-kol,20896,https://www.facebook.com/dinasaputra,Malang,12.0,5.38,1034,69,3.26,447.62,11297450,partner exclusif
834353881968747,Andi Septian,kol-andiseptian,instagram,ig-kol,5082,https://www.instagram.com/andiseptian,Kendari,8.61,1.32,64,4,0.52,458.94,1007741,partner exclusif
756343432258551,Ria,kol-ria,instagram,ig-kol,9987,https://www.instagram.com/ria,Balikpapan,9.93,8.97,589,20,4.67,152.94,2390800,partner exclusif
453953432737961,Rendy Mukhlis,kol-rendymukhlis,tiktok,tiktok-kol,93397,https://www.tiktok.com/@rendymukhlis,Lhokseumawe,7.79,7.46,7207,184,1.12,408.91,13274569,partner exclusif
102967102439281,Lia,kol-lia,facebook,fb-kol,36882,https://www.facebook.com/lia,Padang,11.77,12.52,2941,123,1.52,418.97,7247419,partner exclusif
825448936679226,Lukman,kol-lukman,facebook,fb-kol,170,https://www.facebook.com/lukman,TanjungPinang,1.88,8.53,9,1,0.6,453.95,367885,influencer
797669456980137,Fikri Setiawan,kol-fikrisetiawan,tiktok,tiktok-kol,103,https://www.tiktok.com/@fikrisetiawan,Semarang,5.46,8.99,6,0,3.54,415.85,288043,influencer
309859962074691,Ria Hartono,kol-riahartono,instagram,ig-kol,102229,https://www.instagram.com/riahartono,TanjungPinang,11.32,7.61,6185,154,0.21,247.86,198045080,partner exclusif
102178808405644,Siska,kol-siska,instagram,ig-kol,3138,https://www.instagram.com/siska,Madiun,4.07,10.12,345,14,3.47,158.7,2179618,partner exclusif
509941847528925,Eko Kusuma,kol-ekokusuma,instagram,ig-kol,7662,https://www.instagram.com/ekokusuma,Jakarta,8.41,2.0,181,10,1.2,78.19,2810386,partner exclusif
856844373989238,Intan,kol-intan,tiktok,tiktok-kol,520242,https://www.tiktok.com/@intan,Kupang,3.39,11.89,45276,3443,2.54,488.74,176848023,partner exclusif
931809018907263,Ani Sulaiman,kol-anisulaiman,facebook,fb-kol,848576,https://www.facebook.com/anisulaiman,Prabumulih,4.64,14.83,130112,7692,0.77,578.19,92777949,partner exclusif
740684690723155,Sandi Septian,kol-sandiseptian,facebook,fb-kol,4310,https://www.facebook.com/sandiseptian,Pontianak,3.87,10.84,471,34,0.19,22.42,1705354,partner exclusif
961435642813425,Dedi Fadhil,kol-dedifadhil,instagram,ig-kol,46280,https://www.instagram.com/dedifadhil,Sorong,2.97,13.71,3264,156,1.28,138.3,3315325,partner exclusif
636667686963457,Clara Halim,kol-clarahalim,facebook,fb-kol,5039,https://www.facebook.com/clarahalim,Pontianak,0.2,13.0,670,53,4.55,442.01,1700385,partner exclusif
928840726638503,Andi Prasetyo,kol-andiprasetyo,instagram,ig-kol,569,https://www.instagram.com/andiprasetyo,Jayapura,1.67,8.18,55,3,4.57,494.89,184726,influencer
208934193408146,Mega Kurnia,kol-megakurnia,facebook,fb-kol,166541,https://www.facebook.com/megakurnia,Tarakan,3.22,5.84,8859,375,3.38,272.32,201097029,partner exclusif
165933118466507,Indah Vina,kol-indahvina,facebook,fb-kol,267,https://www.facebook.com/indahvina,Denpasar,5.92,6.24,19,0,1.86,254.9,173791,influencer
571813750214104,Bayu,kol-bayu,facebook,fb-kol,778,https://www.facebook.com/bayu,Depok,2.67,13.07,67,2,4.5,-18.24,125858,influencer
